st_zip,ed_zip,distance
10001,10001,0
10001,10002,6998
10001,10003,2899
10001,10004,4431
10001,10005,9502
10001,10006,6348
10001,10007,4454
10001,10009,4066
10001,10010,2171
10001,10011,1855
10001,10012,3250
10001,10013,3918
10001,10014,2477
10001,10016,1896
10001,10017,3532
10001,10018,1859
10001,10019,3067
10001,10021,5354
10001,10022,3948
10001,10023,4063
10001,10024,6079
10001,10025,7607
10001,10026,9458
10001,10027,10206
10001,10028,6324
10001,10029,10218
10001,10030,12057
10001,10031,11247
10001,10032,13882
10001,10033,13961
10001,10034,16395
10001,10035,12708
10001,10036,2138
10001,10037,13081
10001,10038,8975
10001,10039,13756
10001,10040,15148
10001,10044,8461
10001,10065,4509
10001,10069,4259
10001,10075,4431
10001,10128,6632
10001,10280,5919
10001,10282,5487
10001,10301,27726
10001,10302,32160
10001,10303,36018
10001,10304,24148
10001,10305,23252
10001,10306,31776
10001,10307,50980
10001,10308,47265
10001,10309,46222
10001,10310,27547
10001,10312,44312
10001,10314,38138
10001,10451,14730
10001,10452,16352
10001,10453,16621
10001,10454,13177
10001,10455,15427
10001,10456,18600
10001,10457,17780
10001,10458,26611
10001,10459,20738
10001,10460,20868
10001,10461,26524
10001,10462,21850
10001,10463,19895
10001,10464,30887
10001,10465,24339
10001,10466,24861
10001,10467,24081
10001,10468,18471
10001,10469,25495
10001,10471,20680
10001,10472,20276
10001,10473,19286
10001,10474,18145
10001,10475,28796
10001,11101,6309
10001,11102,8719
10001,11103,9303
10001,11104,7535
10001,11105,14891
10001,11106,8043
10001,11201,11102
10001,11203,18287
10001,11204,18340
10001,11205,8807
10001,11206,9152
10001,11207,27106
10001,11208,20228
10001,11209,18272
10001,11210,18745
10001,11211,7828
10001,11212,15097
10001,11213,12812
10001,11214,24291
10001,11215,12229
10001,11216,10997
10001,11217,8635
10001,11218,14647
10001,11219,16389
10001,11220,16506
10001,11221,13372
10001,11222,7040
10001,11223,20209
10001,11224,25920
10001,11225,16929
10001,11226,16273
10001,11228,18677
10001,11229,21322
10001,11230,17232
10001,11231,10770
10001,11232,14079
10001,11233,28179
10001,11234,36221
10001,11235,27789
10001,11236,39728
10001,11237,12552
10001,11238,9755
10001,11239,39774
10001,11354,19080
10001,11355,17768
10001,11356,21182
10001,11357,22375
10001,11358,21755
10001,11360,25742
10001,11361,24214
10001,11362,25122
10001,11363,26581
10001,11364,22872
10001,11365,19328
10001,11367,18775
10001,11368,15371
10001,11369,14919
10001,11370,13067
10001,11372,12403
10001,11373,13101
10001,11374,13109
10001,11375,14473
10001,11377,10212
10001,11378,9647
10001,11379,13910
10001,11385,11990
10001,11411,32177
10001,11412,24922
10001,11413,28944
10001,11414,20982
10001,11415,19898
10001,11416,18398
10001,11417,18775
10001,11418,17546
10001,11419,22561
10001,11420,24148
10001,11421,17803
10001,11422,30647
10001,11423,23284
10001,11426,26249
10001,11427,24116
10001,11428,24924
10001,11429,26376
10001,11432,21669
10001,11433,22607
10001,11434,26077
10001,11435,20609
10001,11436,23766
10001,11691,36075
10001,11692,44623
10001,11693,26874
10001,11694,40380
10002,10001,6637
10002,10002,0
10002,10003,2514
10002,10004,1983
10002,10005,4945
10002,10006,5767
10002,10007,2514
10002,10009,1776
10002,10010,4804
10002,10011,4618
10002,10012,2112
10002,10013,2101
10002,10014,3568
10002,10016,6197
10002,10017,6287
10002,10018,8572
10002,10019,9286
10002,10021,8654
10002,10022,7272
10002,10023,10500
10002,10024,14230
10002,10025,13273
10002,10026,13494
10002,10027,16814
10002,10028,11601
10002,10029,11636
10002,10030,15326
10002,10031,18221
10002,10032,20778
10002,10033,18647
10002,10034,20491
10002,10035,14125
10002,10036,8357
10002,10037,14499
10002,10038,5797
10002,10039,16925
10002,10040,20599
10002,10044,10733
10002,10065,8239
10002,10069,11034
10002,10075,1983
10002,10128,11514
10002,10280,5939
10002,10282,6455
10002,10301,26807
10002,10302,31241
10002,10303,31730
10002,10304,23228
10002,10305,22333
10002,10306,30856
10002,10307,47277
10002,10308,34830
10002,10309,42520
10002,10310,26628
10002,10312,40609
10002,10314,29405
10002,10451,16147
10002,10452,17809
10002,10453,20884
10002,10454,14594
10002,10455,19877
10002,10456,17681
10002,10457,21265
10002,10458,29590
10002,10459,22753
10002,10460,23667
10002,10461,28231
10002,10462,25994
10002,10463,22908
10002,10464,35601
10002,10465,27161
10002,10466,32501
10002,10467,28249
10002,10468,21868
10002,10469,32323
10002,10471,28045
10002,10472,23564
10002,10473,23736
10002,10474,22594
10002,10475,31613
10002,11101,9209
10002,11102,14981
10002,11103,13956
10002,11104,8987
10002,11105,14156
10002,11106,15321
10002,11201,6544
10002,11203,10793
10002,11204,17421
10002,11205,4978
10002,11206,4463
10002,11207,26631
10002,11208,19753
10002,11209,17352
10002,11210,17825
10002,11211,3140
10002,11212,10571
10002,11213,8316
10002,11214,23372
10002,11215,11310
10002,11216,6274
10002,11217,5458
10002,11218,13728
10002,11219,15470
10002,11220,15587
10002,11221,6257
10002,11222,5730
10002,11223,19290
10002,11224,25001
10002,11225,8598
10002,11226,15354
10002,11228,17758
10002,11229,20403
10002,11230,16313
10002,11231,9851
10002,11232,13160
10002,11233,8431
10002,11234,35302
10002,11235,26870
10002,11236,13203
10002,11237,8447
10002,11238,6480
10002,11239,38855
10002,11354,19530
10002,11355,17293
10002,11356,21384
10002,11357,22579
10002,11358,21280
10002,11360,25919
10002,11361,23739
10002,11362,24646
10002,11363,26106
10002,11364,22397
10002,11365,18853
10002,11367,18299
10002,11368,14896
10002,11369,14184
10002,11370,12332
10002,11372,11669
10002,11373,11332
10002,11374,12633
10002,11375,13997
10002,11377,9411
10002,11378,9168
10002,11379,11381
10002,11385,11511
10002,11411,31701
10002,11412,24447
10002,11413,28468
10002,11414,20507
10002,11415,19423
10002,11416,17922
10002,11417,18299
10002,11418,17071
10002,11419,22086
10002,11420,23673
10002,11421,17328
10002,11422,30171
10002,11423,22809
10002,11426,25774
10002,11427,23641
10002,11428,24449
10002,11429,25901
10002,11432,21194
10002,11433,22132
10002,11434,25602
10002,11435,20134
10002,11436,23290
10002,11691,35600
10002,11692,43704
10002,11693,26399
10002,11694,39461
10003,10001,3418
10003,10002,2968
10003,10003,0
10003,10004,2941
10003,10005,8087
10003,10006,8910
10003,10007,3472
10003,10009,1894
10003,10010,1524
10003,10011,1979
10003,10012,1621
10003,10013,2388
10003,10014,2274
10003,10016,2047
10003,10017,3687
10003,10018,4555
10003,10019,5764
10003,10021,5445
10003,10022,4040
10003,10023,6476
10003,10024,8436
10003,10025,9964
10003,10026,11429
10003,10027,12564
10003,10028,6416
10003,10029,9572
10003,10030,13262
10003,10031,16157
10003,10032,18714
10003,10033,16582
10003,10034,18426
10003,10035,12061
10003,10036,4835
10003,10037,12434
10003,10038,6843
10003,10039,14860
10003,10040,18534
10003,10044,8611
10003,10065,4600
10003,10069,7010
10003,10075,2941
10003,10128,6724
10003,10280,5030
10003,10282,3989
10003,10301,29950
10003,10302,34384
10003,10303,34872
10003,10304,26371
10003,10305,25475
10003,10306,33999
10003,10307,50420
10003,10308,37973
10003,10309,45663
10003,10310,29771
10003,10312,43752
10003,10314,32548
10003,10451,14083
10003,10452,15744
10003,10453,18819
10003,10454,12530
10003,10455,14780
10003,10456,15616
10003,10457,19201
10003,10458,24494
10003,10459,17657
10003,10460,18570
10003,10461,22838
10003,10462,20897
10003,10463,20843
10003,10464,28607
10003,10465,22065
10003,10466,26194
10003,10467,23153
10003,10468,19804
10003,10469,26895
10003,10471,25981
10003,10472,18467
10003,10473,18639
10003,10474,17498
10003,10475,26516
10003,11101,6459
10003,11102,8869
10003,11103,9452
10003,11104,7685
10003,11105,15040
10003,11106,8193
10003,11201,5843
10003,11203,12938
10003,11204,20564
10003,11205,6675
10003,11206,6760
10003,11207,27256
10003,11208,20378
10003,11209,20495
10003,11210,20968
10003,11211,5437
10003,11212,12965
10003,11213,10680
10003,11214,26514
10003,11215,8477
10003,11216,8570
10003,11217,6503
10003,11218,16871
10003,11219,18613
10003,11220,18730
10003,11221,8554
10003,11222,7190
10003,11223,22433
10003,11224,28144
10003,11225,9644
10003,11226,18497
10003,11228,20901
10003,11229,23546
10003,11230,19456
10003,11231,12994
10003,11232,16303
10003,11233,10727
10003,11234,38445
10003,11235,30013
10003,11236,15440
10003,11237,12702
10003,11238,7623
10003,11239,32450
10003,11354,19229
10003,11355,17918
10003,11356,21332
10003,11357,22525
10003,11358,21905
10003,11360,25892
10003,11361,24364
10003,11362,25272
10003,11363,26731
10003,11364,23022
10003,11365,19478
10003,11367,18924
10003,11368,15521
10003,11369,15069
10003,11370,13217
10003,11372,12553
10003,11373,13251
10003,11374,13259
10003,11375,14622
10003,11377,10362
10003,11378,9796
10003,11379,14060
10003,11385,12140
10003,11411,32326
10003,11412,25072
10003,11413,29094
10003,11414,21132
10003,11415,20048
10003,11416,18548
10003,11417,18925
10003,11418,17696
10003,11419,22711
10003,11420,24298
10003,11421,17953
10003,11422,30796
10003,11423,23434
10003,11426,26399
10003,11427,24266
10003,11428,25074
