,from,to,cost
0,0,1,3.764392022826227
1,0,2,2.001815450760238
2,0,3,3.867398189893444
3,0,4,4.852860143536248
4,0,5,4.652595596203557
5,0,6,3.928743607498695
6,0,7,2.8572613185181606
7,0,8,1.776788154934531
8,0,9,0.9429671862573535
9,0,10,2.546606913040998
10,0,11,3.3563108239714894
11,0,12,1.7699581880134512
12,0,13,1.635548991498488
13,0,14,2.2261280631791376
14,0,15,0.7843846268139257
15,0,16,2.0703755513462068
16,0,17,3.901842706075726
17,0,18,2.79049637163148
18,0,19,3.3265055226426146
19,0,20,4.554661230010022
20,0,21,5.9563982814964564
21,0,22,6.98892458011781
22,0,23,7.851624742373698
23,0,24,4.824616483600585
24,0,25,6.519344268734156
25,0,26,9.006007156307087
26,0,27,9.310237921749692
27,0,28,10.98903361851984
28,0,29,12.364682803398685
29,0,30,14.51739472764017
30,0,31,7.717864290473877
31,0,32,1.3213195332160061
32,0,33,8.759691453711103
33,0,34,4.2708802487740885
34,0,35,9.975880529474608
35,0,36,13.453929280612613
36,0,37,4.175550257711883
37,0,38,3.3403055301745903
38,0,39,3.3609384554051713
39,0,40,3.867398189893444
40,0,41,5.330713015520925
41,0,42,4.52273399279254
42,0,43,3.8414651941363247
43,0,44,15.29965716888871
44,0,45,17.708169502253934
45,0,46,19.09858791610696
46,0,47,17.17093116996309
47,0,48,18.094486866155382
48,0,49,22.50228936289217
49,0,50,33.90041955902005
50,0,51,25.504806067789318
51,0,52,29.84896697727757
52,0,53,16.41671041254717
53,0,54,27.293665955925643
54,0,55,20.478998982535135
55,0,56,10.355764959179856
56,0,57,11.759918835678379
57,0,58,13.50444552287325
58,0,59,9.310445053925271
59,0,60,10.59572725854534
60,0,61,11.79138319814813
61,0,62,13.803911062817138
62,0,63,15.640770202343225
63,0,64,12.121725206941917
64,0,65,14.266005058430737
65,0,66,17.06854722684201
66,0,67,15.620594166848399
67,0,68,16.449512666859984
68,0,69,20.775917511853322
69,0,70,17.259756713532038
70,0,71,20.030279219620194
71,0,72,17.485539350585857
72,0,73,15.4044290086664
73,0,74,18.363406625964856
74,0,75,18.627998783665575
75,0,76,13.878005646667024
76,0,77,13.93350518300761
77,0,78,11.968723810409257
78,0,79,19.855549559468066
79,0,80,5.270128910795153
80,0,81,6.419919957265435
81,0,82,7.0878061329086615
82,0,83,6.365104565182976
83,0,84,7.8716075811451685
84,0,85,5.839480645445084
85,0,86,6.06519137082706
86,0,87,12.061204487168496
87,0,88,14.522084547887665
88,0,89,6.718630514983854
89,0,90,6.899160925407656
90,0,91,12.25359335983995
91,0,92,13.133307508463133
92,0,93,13.983689303608946
93,0,94,14.011707135230093
94,0,95,5.50534524127922
95,0,96,11.800366916035813
96,0,97,10.074965081304068
97,0,98,16.301794474218998
98,0,99,9.126341024319283
99,0,100,8.634271900397858
100,0,101,7.554229139626481
101,0,102,11.902902118465132
102,0,103,12.748440827428679
103,0,104,11.986745684354538
104,0,105,8.67983447902525
105,0,106,4.608274070169405
106,0,107,16.819631020251943
107,0,108,19.079750990776454
108,0,109,10.149720611842469
109,0,110,11.78150078731438
110,0,111,14.605397332826977
111,0,112,16.877947490128193
112,0,113,14.235417045761418
113,0,114,7.672623372752923
114,0,115,10.702616735667082
115,0,116,10.061472535134437
116,0,117,15.478994530824984
117,0,118,18.627307534048136
118,0,119,14.353706728396268
119,0,120,8.50790582596832
120,0,121,8.175765380536035
121,0,122,14.60999418244096
122,0,123,14.715807841246841
123,0,124,14.714254977977724
124,0,125,13.454467158712411
125,0,126,16.314308885332352
126,0,127,16.935147791289154
127,0,128,18.545668192737583
128,0,129,18.83080927967361
129,0,130,22.334216549877063
130,0,131,21.383537970511366
131,0,132,20.10213734894853
132,0,133,17.071147117606795
133,0,134,15.13805377035399
134,0,135,11.45744157121075
135,0,136,10.468465002950868
136,0,137,8.986657426101715
137,0,138,9.607644214724607
138,0,139,10.167354796424679
139,0,140,11.75453949590933
140,0,141,12.933683702127686
141,0,142,7.593581953348303
142,0,143,8.633468498000333
143,0,144,10.509367532099635
144,0,145,9.847974176776098
145,0,146,22.70490197516861
146,0,147,20.695967022762943
147,0,148,22.380838073245464
148,0,149,16.30863846544554
149,0,150,14.841871083226932
150,0,151,14.219374424384837
151,0,152,15.092788995468874
152,0,153,14.794126617980549
153,0,154,16.192359432968143
154,0,155,17.117359405297147
155,0,156,13.28717309120636
156,0,157,24.079815638846345
157,0,158,19.7142626544226
158,0,159,23.167512645148438
159,0,160,21.05686170688405
160,0,161,21.623454045952997
161,0,162,22.11450500014077
162,0,163,17.56386468418668
163,0,164,18.560795359997282
164,0,165,20.25841307019092
165,0,166,16.474041359956477
166,0,167,18.708291245525423
167,0,168,26.01297664513501
168,0,169,24.418408199886706
169,0,170,21.63659329970709
170,0,171,23.09410172043897
171,1,2,1.7923676543872655
172,1,3,1.5495191129862858
173,1,4,2.041249108453103
174,1,5,2.30357700791624
175,1,6,1.637171584547527
176,1,7,1.4001778647315282
177,1,8,2.5347229584776616
178,1,9,2.952632771585153
179,1,10,1.4527085186590112
180,1,11,1.3031035153123736
181,1,12,2.5589939426679598
182,1,13,3.331726595263279
183,1,14,4.300151223436684
184,1,15,4.405126864361474
185,1,16,5.5436629315156445
186,1,17,6.402483418767504
187,1,18,5.010320334731135
188,1,19,6.8093056374162675
189,1,20,7.964076888795999
190,1,21,9.285012822171261
191,1,22,10.061509473602618
192,1,23,11.05548176663025
193,1,24,7.394319336678139
194,1,25,9.249014260752661
195,1,26,12.065806083038074
196,1,27,12.543992517594488
197,1,28,14.193469721934887
198,1,29,15.559526936675244
199,1,30,17.658948584925643
200,1,31,10.45234362584244
201,1,32,4.953793635590358
202,1,33,11.691925937831801
203,1,34,1.281169020572209
204,1,35,13.044502677054522
205,1,36,16.630693139489978
206,1,37,6.054135344821868
207,1,38,5.897594628850336
208,1,39,6.974128605453928
209,1,40,1.5495191129862858
210,1,41,7.9953275324625865
211,1,42,2.4723966747459722
212,1,43,2.2782372729337137
213,1,44,12.845138836155494
214,1,45,15.796611170704754
215,1,46,17.414332499152188
216,1,47,14.408554827546341
217,1,48,15.106054042339235
218,1,49,19.715487856548453
219,1,50,31.609156500962094
220,1,51,22.887937688343914
221,1,52,27.539366501170207
222,1,53,14.291245907412232
223,1,54,24.834914958128014
224,1,55,18.29466952407348
225,1,56,13.123992889082178
226,1,57,14.693283060312947
227,1,58,16.451426380042047
228,1,59,11.841404786201986
229,1,60,13.029335989305181
230,1,61,14.499152522441083
231,1,62,16.564531987148364
232,1,63,18.416924533729915
233,1,64,14.506704132093988
234,1,65,16.686346201350855
235,1,66,19.129800589682233
236,1,67,17.847140629385507
237,1,68,19.515203662655413
238,1,69,22.355647788105838
239,1,70,18.790486370961386
240,1,71,22.648808109548366
241,1,72,20.16136159847928
242,1,73,18.31933691973638
243,1,74,20.792379003745005
244,1,75,21.783609747629995
245,1,76,16.03692520036521
246,1,77,15.781399022756187
247,1,78,14.023201471572353
248,1,79,22.10893414610913
249,1,80,5.554915128668606
250,1,81,8.035379952606386
251,1,82,8.101586113821659
252,1,83,6.4130803848840685
